method,seed,coverage,risk
online,0,0.38701622971285893,0.1532258064516129
online,0,0.3920099875156055,0.15445859872611464
online,0,0.3970037453183521,0.1540880503144654
online,0,0.4019975031210986,0.15476190476190477
online,0,0.4069912609238452,0.15593047034764826
online,0,0.41198501872659177,0.15656565656565657
online,0,0.4171868497711194,0.15610972568578554
online,0,0.422180607573866,0.15623459832429767
online,0,0.4271743653766126,0.1573307355090112
online,0,0.43216812317935915,0.15840154068367837
online,0,0.4371618809821057,0.1589719181342218
online,0,0.44215563878485226,0.1595294117647059
online,0,0.44714939658759884,0.15960912052117263
online,0,0.4523512276321265,0.15915363385464582
online,0,0.45734498543487306,0.1592356687898089
online,0,0.46233874323761964,0.15841584158415842
online,0,0.4673325010403662,0.1580587711487088
online,0,0.4723262588431128,0.15859030837004406
online,0,0.4773200166458593,0.15998256320836965
online,0,0.4823137744486059,0.16005176876617774
online,0,0.4875156054931336,0.16047801963294922
online,0,0.49250936329588013,0.16054076890578792
online,0,0.4975031210986267,0.1606022584692597
online,0,0.5024968789013733,0.1606625258799172
online,0,0.5074906367041199,0.16072160721607215
online,0,0.5124843945068664,0.16159155501421033
online,0,0.5176862255513941,0.159967845659164
online,0,0.5226799833541407,0.1588375796178344
online,0,0.5276737411568873,0.15772870662460567
online,0,0.5326674989596338,0.15703125
online,0,0.5376612567623804,0.15712074303405574
online,0,0.5426550145651269,0.15682515337423314
online,0,0.5476487723678735,0.15691489361702127
online,0,0.5528506034124012,0.1565675573955589
online,0,0.5578443612151477,0.15703095859753824
online,0,0.5628381190178943,0.15600739371534195
online,0,0.5678318768206408,0.15646757053865884
online,0,0.5728256346233874,0.15583000363240102
online,0,0.577819392426134,0.15628375945264675
online,0,0.5828131502288806,0.15672973937879328
online,0,0.5880149812734082,0.15605095541401273
online,0,0.5930087390761548,0.156140350877193
online,0,0.5980024968789014,0.15622825330549756
online,0,0.602996254681648,0.15562456866804694
online,0,0.6079900124843945,0.15537303216974674
online,0,0.6129837702871411,0.1551255940257977
online,0,0.6179775280898876,0.15488215488215487
online,0,0.6231793591344154,0.15425709515859767
online,0,0.6281731169371619,0.15402451142762505
online,0,0.6331668747399084,0.15478146565888926
online,0,0.638160632542655,0.15552657319856536
online,0,0.6431543903454016,0.1562601099967648
online,0,0.6481481481481481,0.15698234349919743
online,0,0.6531419059508947,0.15641924179675057
online,0,0.6583437369954224,0.15771175726927938
online,0,0.663337494798169,0.15715181932245922
online,0,0.6683312526009155,0.15722291407222913
